"Fp2-F4"	"F4-C4"	"C4-P4"	"P4-O2"	"Fp1-F3"	"F3-C3"	"C3-P3"	"P3-O1"	"Fp2-F8"	"F8-T4"	"T4-T6"	"T6-O2"	"Fp1-F7"	"F7-T3"	"T3-T5"	"T5-O1"	"Fz-Cz"	"Cz-Pz"	"t"	"seizure"
-3.8147	-5.4932	5.0354	8.8501	-0.4578	-0.6104	1.3733	0.7629	-5.3406	-0.3052	2.2888	7.9346	-2.1362	1.8311	1.2207	0.1526	-0.1526	4.425	103	1
-4.2725	-7.4768	5.0354	5.6457	-1.3733	-1.8311	-0.4578	-2.594	-7.4768	-1.2207	1.3733	6.2561	-2.8992	1.2207	-2.2888	-2.2888	0.1526	1.2207	103.0156	1
-0.7629	-7.4768	2.8992	5.6457	-1.3733	-1.5259	0.1526	-1.6785	-4.7302	-0.1526	1.0681	4.1199	-3.6621	0.6104	-0.7629	-0.6104	1.5259	0	103.0312	1
1.8311	-6.4087	0.3052	5.3406	0.3052	-1.5259	0.6104	-0.9155	-1.5259	-1.2207	-1.2207	5.0354	-1.5259	0.4578	-0.4578	0	-1.9836	4.5776	103.0469	1
2.594	-6.4087	-0.6104	4.2725	-1.5259	-2.2888	1.2207	-1.3733	-0.4578	-3.2043	-2.1362	5.6457	-2.4414	0	-0.9155	-0.6104	-4.2725	5.4932	103.0625	1
0.3052	-7.4768	2.2888	3.0518	-3.9673	-1.9836	1.5259	-1.3733	-1.9836	-2.2888	-2.4414	4.8828	-4.425	0	-0.3052	-1.0681	-2.594	2.2888	103.0781	1
-2.2888	-6.8664	3.2043	3.2043	-2.8992	-1.5259	0.6104	-1.0681	-3.0518	-0.9155	-1.8311	3.0518	-3.0518	-0.3052	-0.7629	-0.7629	-1.5259	1.5259	103.0938	1
-1.2207	-4.7302	1.9836	5.0354	-1.6785	-0.4578	0.1526	-1.3733	-1.9836	-1.2207	-1.5259	5.7983	-1.9836	0.4578	-1.5259	-0.3052	-1.3733	2.2888	103.1094	1
0.9155	-3.9673	-0.1526	3.8147	-0.6104	0.4578	-0.7629	-0.6104	0	-1.3733	-3.8147	5.7983	-0.6104	1.2207	-1.3733	-0.7629	-0.9155	0.9155	103.125	1
0.7629	-4.2725	-1.0681	2.7466	-2.4414	0.6104	-1.6785	-1.8311	-1.0681	-2.594	-3.5095	5.3406	-1.3733	-0.7629	-0.6104	-2.594	-0.3052	-1.2207	103.1406	1
