"Fp2-F4"	"F4-C4"	"C4-P4"	"P4-O2"	"Fp1-F3"	"F3-C3"	"C3-P3"	"P3-O1"	"Fp2-F8"	"F8-T4"	"T4-T6"	"T6-O2"	"Fp1-F7"	"F7-T3"	"T3-T5"	"T5-O1"	"Fz-Cz"	"Cz-Pz"	"t"	"seizure"
-11.7118	0.6692	1.5058	14.2214	0.1673	3.5135	3.3462	9.3694	-6.3578	-1.3385	6.0232	6.3578	0.6692	6.3578	3.0116	6.3578	1.6731	-1.6731	4004.6094	0
7.1944	0.1673	2.0077	11.3772	5.354	2.175	4.852	3.0116	12.5483	-0.8366	2.0077	7.0271	4.6847	4.3501	5.8559	0.5019	2.0077	0	4004.625	0
2.8443	0.1673	2.5097	9.2021	1.0039	4.6847	7.1944	2.8443	8.3656	-1.3385	3.8482	3.8482	-3.0116	9.8714	6.1905	2.677	3.1789	0.6692	4004.6406	0
-11.3772	1.1712	2.175	8.0309	0.6692	3.5135	10.7079	30.4506	-7.8636	1.0039	5.0193	1.8404	2.175	4.3501	14.5561	24.2601	4.1828	2.5097	4004.6562	0
5.0193	2.677	3.1789	16.2292	3.6808	5.1866	14.3888	37.8123	10.3733	0.8366	9.8714	6.0232	1.8404	9.8714	13.7195	35.6373	4.6847	6.5251	4004.6719	0
-3.0116	4.852	4.6847	24.4274	-0.5019	8.3656	15.7272	41.4932	2.175	2.0077	12.7156	14.0541	-2.5097	10.206	13.7195	43.6682	5.5213	9.8714	4004.6875	0
1.5058	7.0271	6.1905	27.2717	-3.6808	7.6963	15.2253	33.1276	4.6847	6.5251	11.3772	19.4081	-3.0116	3.8482	11.7118	39.8201	7.0271	10.7079	4004.7031	0
7.8636	8.5329	7.1944	29.7814	5.354	4.852	15.2253	31.6218	11.2098	4.3501	15.2253	22.587	2.5097	6.5251	13.3849	34.6334	9.3694	13.0503	4004.7188	0
1.8404	10.3733	8.8675	28.4429	1.8404	6.8598	12.381	21.9178	6.5251	7.0271	19.0735	16.8984	-0.3346	4.6847	11.8791	26.7698	10.0387	13.3849	4004.7344	0
10.7079	9.8714	7.6963	21.5831	4.3501	6.1905	15.2253	33.2949	10.8752	2.0077	11.2098	25.7659	2.0077	11.3772	13.7195	31.9564	11.2098	15.5599	4004.75	0
3.1789	8.1982	7.0271	23.2562	5.354	7.529	14.8907	40.8239	6.3578	4.0155	11.2098	20.0773	3.6808	10.5406	21.4158	32.9603	8.5329	13.7195	4004.7656	0
-7.6963	5.6886	7.529	28.7775	11.7118	5.0193	12.2137	56.8858	-1.1712	1.3385	14.3888	19.7427	11.7118	15.2253	23.9255	34.968	3.1789	9.2021	4004.7812	0
